gene,di_raw,di_raw_ci_low,di_raw_ci_high,magnitude_cv,mean_norm,n_contexts,di_corrected,di_corrected_ci_low,di_corrected_ci_high,dataset
A2M,0.9413395590627534,0.4000312451379694,0.9413395590627534,0.053927415809151114,4.8117875398856285,5,0.9878132553171324,0.4465049413923484,0.9878132553171324,JUMP-CP_CRISPR
A3GALT2,0.9566049339549137,0.4037082574105153,0.9566049339549137,0.1591827920602756,5.258714937994061,5,1.0073951899026048,0.45449851335820635,1.0073951899026048,JUMP-CP_CRISPR
A4GALT,0.8160294208295922,0.3569732916470525,0.8160294208295922,0.05239550666209194,5.266922397419106,5,0.8668989468974159,0.4078428177148762,0.8668989468974159,JUMP-CP_CRISPR
A4GNT,0.9838107212515552,0.543588940002062,0.9838107212515552,0.03890691000186902,5.147660015117299,6,1.0335283752378033,0.5933065939883101,1.0335283752378033,JUMP-CP_CRISPR
AACS,0.8102382501547727,0.3480957099479755,0.8102382501547727,0.0808878171442784,4.975667235591732,5,0.8582947459690605,0.3961522057622633,0.8582947459690605,JUMP-CP_CRISPR
AADAC,1.0008464489388063,0.7844843822455744,0.9688100421891872,0.11189162701250174,5.035972486896957,10,1.0494853910702833,0.8331233243770514,1.0174489843206642,JUMP-CP_CRISPR
AADAT,0.8499588923048484,0.3501815526966684,0.8499588923048484,0.10869052486952094,4.6614101832712365,5,0.8949801986652631,0.3952028590570831,0.8949801986652631,JUMP-CP_CRISPR
AAK1,0.8868719557962238,0.38653381858068747,0.8868719557962238,0.12954882822534664,5.892340519468294,5,0.9437819588375568,0.44344382162202045,0.9437819588375568,JUMP-CP_CRISPR
AANAT,0.8960862696020889,0.5934763334609556,0.877278513518746,0.10613487446487799,5.143776605071702,7,0.9457664164421061,0.6431564803009728,0.9269586603587632,JUMP-CP_CRISPR
AARS,0.9109529896007383,0.4044443532505392,0.9109529896007383,0.07629464959058256,7.0578963354313995,5,0.9791202824765851,0.47261164612638595,0.9791202824765851,JUMP-CP_CRISPR
AARSD1,0.9257704146246202,0.6144375577607684,0.9031446306063153,0.13622239259602237,4.831671509393016,7,0.9724361562574698,0.661103299393618,0.949810372239165,JUMP-CP_CRISPR
AASDH,0.8570856948298087,0.41229696682662764,0.8570856948298087,0.08266403878080558,5.240162482484157,5,0.9076967655630668,0.46290803755988574,0.9076967655630668,JUMP-CP_CRISPR
AASDHPPT,0.9798026404330182,0.42362111407057784,0.9798026404330182,0.36467853384112714,5.419504805796926,5,1.0321458534502206,0.4759643270877802,1.0321458534502206,JUMP-CP_CRISPR
AASS,0.9799170828877577,0.40348818912309137,0.9799170828877577,0.12282820013583336,4.580087607780724,5,1.0241529512709877,0.4477240575063214,1.0241529512709877,JUMP-CP_CRISPR
AATF,0.6540754598276736,0.2855765645419598,0.6540754598276736,0.15006673289303762,7.05949006447576,5,0.7222581454196171,0.3537592501339033,0.7222581454196171,JUMP-CP_CRISPR
AATK,0.8429460948124938,0.3590388164341749,0.8429460948124938,0.27383841226794775,6.746066529392808,5,0.9081016413115993,0.4241943629332804,0.9081016413115993,JUMP-CP_CRISPR
ABAT,0.9057059009930783,0.4567258131916548,0.9057059009930783,0.13507579329458305,4.840792365591471,5,0.9524597346077608,0.5034796468063372,0.9524597346077608,JUMP-CP_CRISPR
ABCA1,1.013100286967519,0.41910226813842244,1.013100286967519,0.146528683179958,4.676273160039523,5,1.0582651444431979,0.46426712561410133,1.0582651444431979,JUMP-CP_CRISPR
ABCA10,0.9814522253431379,0.3951543875454251,0.9814522253431379,0.2824106892890784,5.307993518694245,5,1.032718428695473,0.4464205908977602,1.032718428695473,JUMP-CP_CRISPR
ABCA12,0.8319221813505925,0.34888812943469316,0.8319221813505925,0.050118964021330946,5.009657771199516,5,0.8803069680161005,0.3972729161002012,0.8803069680161005,JUMP-CP_CRISPR
ABCA13,1.0185620264520134,0.6775065319804825,0.9879635873257561,0.6436580034996227,6.60776937778203,7,1.082381857322877,0.741326362851346,1.0517834181966195,JUMP-CP_CRISPR
ABCA2,0.9796031214153069,0.4033404858125045,0.9796031214153069,0.2166647179400643,6.050270696169734,5,1.0380384617664409,0.46177582616363855,1.0380384617664409,JUMP-CP_CRISPR
ABCA3,0.8449845943362155,0.34153467010695615,0.8449845943362155,0.22273425085817172,5.2524683009445585,5,0.8957145183780517,0.39226459414879233,0.8957145183780517,JUMP-CP_CRISPR
ABCA5,0.994010897958472,0.41124853526957417,0.994010897958472,1.0141696345123392,8.53914289278322,5,1.0764845171244128,0.49372215443551504,1.0764845171244128,JUMP-CP_CRISPR
ABCA6,0.9106023239844564,0.3868971153163484,0.9106023239844563,0.05639202115411607,4.739229369684169,5,0.956375231533024,0.43267002286491596,0.9563752315330238,JUMP-CP_CRISPR
ABCA7,0.8884551624975979,0.37568115773667765,0.8884551624975979,0.13038318909744914,4.954119261367621,5,0.9363035414736655,0.4235295367127452,0.9363035414736655,JUMP-CP_CRISPR
ABCA8,0.8966231246383894,0.5883099823988698,0.8662043229837884,0.1769787850534237,5.103340188168377,7,0.9459127243602716,0.637599582120752,0.9154939227056705,JUMP-CP_CRISPR
ABCA9,0.8158233149369982,0.47928562680998366,0.7866917573275637,0.105598402541116,4.534012442771349,6,0.8596141754711146,0.5230764873441001,0.8304826178616801,JUMP-CP_CRISPR
ABCB1,0.8926757398125836,0.4561955371712828,0.8926757398125836,0.15262619883644563,5.436180464835318,5,0.9451800113774812,0.5086998087361804,0.9451800113774812,JUMP-CP_CRISPR
ABCB10,0.9445175998545379,0.38642480985489935,0.9445175998545379,0.11181353706864985,4.816770177308112,5,0.9910394199248997,0.43294662992526123,0.9910394199248997,JUMP-CP_CRISPR
ABCB11,0.8415010482308105,0.3548026496791692,0.8415010482308105,0.06907625793671064,4.939126547569172,5,0.8892046230522219,0.4025062245005806,0.8892046230522219,JUMP-CP_CRISPR
ABCB4,0.8925277985760242,0.35842012171123483,0.8925277985760243,0.08078655575071134,4.534273620957667,5,0.9363211816478875,0.40221350478309814,0.9363211816478876,JUMP-CP_CRISPR
ABCB5,0.281506673861329,0.1264972093297878,0.281506673861329,0.20201747896214808,8.42675634201625,5,0.3628948298017789,0.2078853652702377,0.3628948298017789,JUMP-CP_CRISPR
ABCB6,0.8104282854029676,0.3373732907098822,0.8104282854029676,0.08346616686797363,4.795125538284564,5,0.856741055017303,0.3836860603242176,0.856741055017303,JUMP-CP_CRISPR
ABCB7,0.8657858914001703,0.37138081323243477,0.8657858914001703,0.17946964962282677,5.509122498867233,5,0.9189946591436037,0.4245895809758682,0.9189946591436037,JUMP-CP_CRISPR
ABCB8,0.8912704131523789,0.3614923162685697,0.8912704131523789,0.11911870350831805,5.556570907544698,5,0.9449374519467163,0.41515935506290713,0.9449374519467163,JUMP-CP_CRISPR
ABCB9,0.8348650702908554,0.36025600841041094,0.8348650702908553,0.03664109684017326,4.385748111230673,5,0.8772239491648789,0.4026148872844344,0.8772239491648788,JUMP-CP_CRISPR
ABCC1,0.9298587714740606,0.3680798363435688,0.9298587714740606,0.10647670436988392,4.947092027687714,5,0.9776392793064334,0.41586034417594153,0.9776392793064334,JUMP-CP_CRISPR
ABCC10,0.8653514265502646,0.4849758443710527,0.841975795472419,0.17623258850579585,4.889764000933142,6,0.9125782429986827,0.5322026608194708,0.889202611920837,JUMP-CP_CRISPR
ABCC11,0.9002218679050866,0.39074346271601823,0.9002218679050866,0.21852598962573663,5.972637946035983,5,0.9579074077259184,0.44842900253685003,0.9579074077259184,JUMP-CP_CRISPR
ABCC12,0.8679969444380715,0.3823888232340127,0.8679969444380715,0.2640724537789238,5.7597806042706114,5,0.9236266438119343,0.43801852260787544,0.9236266438119343,JUMP-CP_CRISPR
ABCC2,0.9220125559634115,0.5907786000635924,0.889671080593562,0.10465944587999229,5.164982978208052,7,0.9718975203552483,0.6406635644554293,0.9395560449853989,JUMP-CP_CRISPR
