gene,di_raw,di_raw_ci_low,di_raw_ci_high,magnitude_cv,mean_norm,n_contexts,di_corrected,di_corrected_ci_low,di_corrected_ci_high,dataset
A1BG,0.9235936760665227,0.39155137817522045,0.9235936760665227,0.06537272934642085,10.128460011880344,5,1.051681502871812,0.51963920498051,1.051681502871812,JUMP-CP_ORF
A1CF,0.919737060991744,0.3979634255397938,0.919737060991744,0.2043579910354548,12.525373074208453,5,1.0781370364193017,0.5563634009673516,1.0781370364193017,JUMP-CP_ORF
A2M,0.8407254922729059,0.33549828742739285,0.8407254922729059,0.10100959494032126,10.99830067594481,5,0.9798136093687431,0.47458640452323,0.9798136093687431,JUMP-CP_ORF
A4GALT,0.6314831199104024,0.2737097506928923,0.6398546480628869,0.11240288220686027,14.547852802352102,5,0.815460037225652,0.45768666800814184,0.8238315653781365,JUMP-CP_ORF
A4GNT,0.16049547479520498,0.06770805997382776,0.16049547479520498,0.11577072395126499,37.26031301757719,5,0.6317016122443542,0.538914197422977,0.6317016122443542,JUMP-CP_ORF
AAAS,0.8916647501323289,0.3662317978650258,0.8916647501323289,0.04907435874066614,10.85146137431644,5,1.028895889265759,0.5034629369984558,1.028895889265759,JUMP-CP_ORF
AADAC,0.949672040452581,0.43782340881980336,0.949672040452581,0.15215929925663801,12.363187605611266,5,1.1060209652576707,0.594172333624893,1.1060209652576707,JUMP-CP_ORF
AADAT,0.8325776284154784,0.360307448422275,0.8325776284154784,0.16213295945781186,13.44966781277042,5,1.0026665382171758,0.5303963582239724,1.0026665382171758,JUMP-CP_ORF
AAGAB,0.8964263628721227,0.3943058143790077,0.8964263628721227,0.06397746430528695,12.062210456807094,5,1.0489690319519434,0.5468484834588283,1.0489690319519434,JUMP-CP_ORF
AAK1,0.8959572370924357,0.6911121938538273,0.8691033558187442,0.15110358404133067,11.869952731595628,10,1.0460685519308435,0.8412235086922351,1.0192146706571519,JUMP-CP_ORF
AAMDC,0.8926492844581955,0.37734100102754053,0.8926492844581955,0.07356475666424393,11.46260325567893,5,1.0376091242392655,0.5223008408086106,1.0376091242392655,JUMP-CP_ORF
