drug,di_raw,di_raw_ci_low,di_raw_ci_high,magnitude_cv,mean_norm,n_contexts,di_corrected,di_corrected_ci_low,di_corrected_ci_high,dataset
4EGI-1,0.905870865589822,0.8718575938892916,0.9003148728741224,0.2187604474025366,116.8337695477886,49,0.8909742833095722,0.8569610116090418,0.8854182905938726,Tahoe-100M
9-ING-41,0.8317956928804835,0.7907992057493549,0.837447665674008,0.302232436286114,93.0999364762806,49,0.8199252305186774,0.7789287433875488,0.8255772033122019,Tahoe-100M
APTO-253,0.9257809391524962,0.8936256550057314,0.9185094093608454,0.28289480563142605,102.97553264527154,49,0.9126513148936863,0.8804960307469216,0.9053797851020355,Tahoe-100M
AT7519,0.8941900790612727,0.8541522983984329,0.8950138836803676,0.4145864233174368,74.91912112190576,50,0.8846377137094042,0.8445999330465644,0.8854615183284992,Tahoe-100M
AZD-7648,0.8527952261101865,0.8131954101239641,0.8556639862787647,0.257155399844048,97.2180468257097,49,0.8403996949271239,0.8007998789409014,0.843268455095702,Tahoe-100M
AZD-8055,0.8433196980847681,0.8034616788292867,0.84936458871803,0.2387198249470293,115.92739725952256,49,0.828538680417566,0.7886806611620845,0.8345835710508278,Tahoe-100M
AZD1390,0.9017397806136462,0.8667595756912375,0.8980484062329291,0.26046880088278224,107.77946165671433,49,0.8879976440301514,0.8530174391077426,0.8843062696494343,Tahoe-100M
AZD2858,0.8681883823669337,0.8321182808799708,0.8667091525401179,0.34386218472204455,65.37426199280948,50,0.8598530091562957,0.8237829076693327,0.8583737793294799,Tahoe-100M
Adagrasib,0.8943371559502141,0.8556880855279374,0.8951592989848951,0.27492349527603865,99.42465339423057,50,0.8816602772044105,0.8430112067821338,0.8824824202390915,Tahoe-100M
Afatinib,0.9340992357638164,0.9002604179819688,0.9281514947196209,0.4602843753188137,60.55412554754786,50,0.9263784413640546,0.892539623582207,0.9204307003198591,Tahoe-100M
Alpelisib,0.861681434808693,0.819027286143463,0.8657290313264324,0.251815778004925,103.54903429990829,49,0.8484786877308623,0.8058245390656323,0.8525262842486018,Tahoe-100M
Anastrozole,0.9136230342939115,0.8787075810037198,0.908499925019807,0.25887034251372887,112.84895542199115,49,0.8992345252507591,0.8643190719605675,0.8941114159766547,Tahoe-100M
